iid,Name,Category,Description,Latitude,Longitude,Founded Year,Total Money Raised,Raised Amount,Currency,Address,Zip code,City
5713,52cdef7d4bab8bd675299583,Integrate,software,Marketing Software and Media Services,,,2010.0,$34.8M,34750000.0,USD,23 Geary St,94104,San Francisco
5714,52cdef7d4bab8bd675299583,Integrate,software,Marketing Software and Media Services,,,2010.0,$34.8M,34750000.0,USD,239 South Street,01748,Hopkinton
5773,52cdef7d4bab8bd6752995d0,vufind,mobile,Interest Graph Personalization/Analytics,37.424614,-122.145153,2010.0,$930k,930000.0,USD,"1290 oakmead parkway, suite 107",94085,Sunnyvale
5808,52cdef7d4bab8bd6752995ff,travelmob,travel,Social Stay Marketplace,21.303049,-157.78907,2011.0,$1M,1000000.0,USD,71 Ayer Rajah Crescent,139951,Singapore
5817,52cdef7d4bab8bd675299609,Non-Member Films,photo_video,,33.989029,-118.462421,2012.0,$0,0.0,0,,,Venice
5818,52cdef7d4bab8bd675299609,Non-Member Films,photo_video,,42.330165,-83.045913,2012.0,$0,0.0,0,,,Detroit
5856,52cdef7d4bab8bd675299636,UsingMiles,travel,Award+Cash Travel Meta Search ,39.749671,-104.9998449,2010.0,$3.27M,3265000.0,USD,1514 Blake St,80202,Denver
6003,52cdef7d4bab8bd6752996f5,Burt,advertising,Digital Intelligence Service,59.337864,18.036587,2009.0,$3.5M,3500000.0,USD,Karl Gustavsgatan 1A,41125,Gothenburg
6204,52cdef7d4bab8bd6752997dd,Cellogic,mobile,,,,2010.0,$750k,750000.0,USD,Molcho 5,92185,Jerusalem
6249,52cdef7d4bab8bd67529980b,Inuvo,advertising,Performance-based advertising,27.913011,-82.702449,2009.0,$4.2M,4200000.0,USD,15500 Lightwave Dr.,33760,Clearwater
6259,52cdef7d4bab8bd675299826,Kidos,games_video,,40.768058,-73.956599,2011.0,$200k,200000.0,USD,"355 E. 72nd St., Suite 4E",10021,New York
6260,52cdef7d4bab8bd675299826,Kidos,games_video,,40.714056,-73.957854,2011.0,$200k,200000.0,USD,153 Roebling St.,11211,Brooklyn
6368,52cdef7d4bab8bd6752998ba,Localist,web,Blackboard for Student Activities,,,2010.0,$300k,300000.0,USD,2400 Boston St,21224,Baltimore
6429,52cdef7d4bab8bd67529990d,Integrate,software,Marketing Software and Media Services,40.7481039,-74.0353787,2010.0,$34.8M,34750000.0,USD,4900 N. Scottsdale Road,85251,Scottsdale
6430,52cdef7d4bab8bd67529990d,Integrate,software,Marketing Software and Media Services,,,2010.0,$34.8M,34750000.0,USD,1821 Blake St.,80202,Denver
6431,52cdef7d4bab8bd67529990d,Integrate,software,Marketing Software and Media Services,,,2010.0,$34.8M,34750000.0,USD,23 Geary St,94104,San Francisco
6432,52cdef7d4bab8bd67529990d,Integrate,software,Marketing Software and Media Services,,,2010.0,$34.8M,34750000.0,USD,239 South Street,01748,Hopkinton
6493,52cdef7d4bab8bd67529995a,vufind,mobile,Interest Graph Personalization/Analytics,37.424614,-122.145153,2010.0,$930k,930000.0,USD,"1290 oakmead parkway, suite 107",94085,Sunnyvale
6530,52cdef7d4bab8bd675299989,travelmob,travel,Social Stay Marketplace,21.303049,-157.78907,2011.0,$1M,1000000.0,USD,71 Ayer Rajah Crescent,139951,Singapore
6532,52cdef7d4bab8bd675299993,Non-Member Films,photo_video,,33.989029,-118.462421,2012.0,$0,0.0,0,,,Venice
6533,52cdef7d4bab8bd675299993,Non-Member Films,photo_video,,42.330165,-83.045913,2012.0,$0,0.0,0,,,Detroit
6576,52cdef7d4bab8bd6752999c0,UsingMiles,travel,Award+Cash Travel Meta Search ,39.749671,-104.9998449,2010.0,$3.27M,3265000.0,USD,1514 Blake St,80202,Denver
6723,52cdef7d4bab8bd675299a7f,Burt,advertising,Digital Intelligence Service,59.337864,18.036587,2009.0,$3.5M,3500000.0,USD,Karl Gustavsgatan 1A,41125,Gothenburg
6922,52cdef7d4bab8bd675299b67,Cellogic,mobile,,,,2010.0,$750k,750000.0,USD,Molcho 5,92185,Jerusalem
6972,52cdef7d4bab8bd675299b95,Inuvo,advertising,Performance-based advertising,27.913011,-82.702449,2009.0,$4.2M,4200000.0,USD,15500 Lightwave Dr.,33760,Clearwater
6977,52cdef7d4bab8bd675299bb0,Kidos,games_video,,40.768058,-73.956599,2011.0,$200k,200000.0,USD,"355 E. 72nd St., Suite 4E",10021,New York
6978,52cdef7d4bab8bd675299bb0,Kidos,games_video,,40.714056,-73.957854,2011.0,$200k,200000.0,USD,153 Roebling St.,11211,Brooklyn
7129,52cdef7d4bab8bd675299c72,Magoosh,web,Video-based online test prep,37.871087,-122.270913,2009.0,$0,0.0,0,2020 Milvia St,94704,Berkeley
7137,52cdef7d4bab8bd675299c7f,perceptu,web,people wired like you.â„¢,,,2009.0,$0,0.0,0,,,San Francisco
7138,52cdef7d4bab8bd675299c7f,perceptu,web,people wired like you.â„¢,,,2009.0,$0,0.0,0,,98101,Seattle
7216,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,435 Devon Park Drive,19087,Wayne
7217,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,"Av. Ibirapuera, 2907 - Moema",04029-200,Sao Paulo
7218,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,Rua Buenos Aires 39 2715-311 Lisboa,,
7219,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,638 Hougang Avenue 8 #01-103,530638,Singapore
7220,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,1105 N. Market Street  Suite 1800,19801,Willmington
7221,52cdef7d4bab8bd675299ce5,BizEquity,other,What's your Business Worth?,,,2010.0,$0,0.0,0,4902 E. Monte Way Phoenix,85044,
7354,52cdef7d4bab8bd675299d93,Equedia,games_video,,49.2871668,-123.1169693,2010.0,$0,0.0,0,Suite 1400 - 400 Burrard Street,V6C 3G2,Vancouver
7370,52cdef7d4bab8bd675299dae,Navara,software,,52.126616,5.038078,2012.0,$0,0.0,0,Planetenbaan 26,3606 AK,Maarssen
7489,52cdef7d4bab8bd675299e60,payByMobile,ecommerce,mobile wallet,,,2009.0,€750k,750000.0,EUR,Thomas Street,8,Dublin
7705,52cdef7d4bab8bd675299f83,Webmoblink,advertising,Web and Mobile Advertising Marketplace,25.655899,-80.424167,2010.0,$0,0.0,0,14221 Sw 120th Street,33186,Miami
7764,52cdef7d4bab8bd675299fd5,Webtab,mobile,Mobile social commerce,,,2010.0,$2M,2000000.0,USD,847 Sansome Street,94111,San Francisco
7813,52cdef7d4bab8bd67529a00e,Formspring,web,Conversational Q&A Service,39.9052263,-86.0547016,2009.0,$14.3M,14255000.0,USD,,94105,San Francisco
7901,52cdef7d4bab8bd67529a08a,isocket,advertising,Direct ad sales platform,37.55909,-122.321836,2009.0,$10.1M,10104119.0,USD,270 East Lane,94010,Burlingame
7933,52cdef7d4bab8bd67529a0b4,Emotive Communications,enterprise,mobile cloud computing,,,2011.0,$14M,13950000.0,USD,345 California Street,94104,San Francisco
8027,52cdef7d4bab8bd67529a131,Stupeflix,web,Video Creation Web Service,48.8785618,2.3603689,2009.0,$0,0.0,,,75010,Paris
8028,52cdef7d4bab8bd67529a131,Stupeflix,web,Video Creation Web Service,,,2009.0,$0,0.0,,,94110,San Francisco
8045,52cdef7d4bab8bd67529a14a,Diffbot,analytics,visual learning robot,,,2010.0,$2M,2000000.0,USD,395 Page Mill Rd,94306,Palo Alto
8048,52cdef7d4bab8bd67529a14d,Kwanzoo,software,Cloud-based Rich Media Marketing,,,2009.0,$0,0.0,0,26326 Esperanza Dr,94022,Los Altos Hills
8170,52cdef7d4bab8bd67529a1e3,Yipit,web,Every deal. One place.,40.744618,-73.987764,2010.0,$7.55M,7550000.0,USD,3 W 18th,10011,New York
8320,52cdef7e4bab8bd67529a29f,StudyBlue,education,StudyBlue is your online home to store l,43.068006,-89.39256,2009.0,$18.5M,18453939.0,USD,612 W. Main St.,53703,Madison
8354,52cdef7e4bab8bd67529a2d5,fruux,web,"Syncs Contacts, calender and tasks",51.9630088,7.6267552,2010.0,$0,0.0,,,48143,Muenster
8502,52cdef7e4bab8bd67529a38a,Cyphercor,security,Secure mobile authentication,45.3485325,-75.9204125,2011.0,$0,0.0,0,555 Legget Drive,K2K 2X3,Kanata
8541,52cdef7e4bab8bd67529a3b8,Clowdy,web,Social media sharing platform,53.4837067,-2.2439492,2013.0,$0,0.0,0,"3rd Floor, The Corn Exchange, Exchange Square",M4 3TR,Manchester
8638,52cdef7e4bab8bd67529a44c,Storenvy,ecommerce,"""Tumblr for E-commerce""",,,2009.0,$6.53M,6525000.0,USD,2111 Mission St,94110,San Francisco
8667,52cdef7e4bab8bd67529a471,Carsala,web,used car buying service,37.870457,-122.268354,2009.0,$0,0.0,0,2140 Shattuck Avenue,94704,Berkeley
8727,52cdef7e4bab8bd67529a4b2,HyperWeek,social,Social Networks ,46.2121463,6.1503245,2009.0,$1.31M,1310000.0,USD,Rue de la Colline 10,1205,Geneva
8755,52cdef7e4bab8bd67529a4d8,LaunchPad Coworking,other,,30.269967,-97.740833,2009.0,$0,0.0,0,800 Brazos,78701,Austin
8819,52cdef7e4bab8bd67529a532,Queralt,enterprise,,41.4778641,-72.8190106,2011.0,$650k,650000.0,USD,250 State Street,06473,North Haven
8866,52cdef7e4bab8bd67529a574,BookingBug,software,Online Bookings & Appointments ,,,2009.0,$350k,350000.0,USD,418-422 Strand,WC2R 0PT,London
9118,52cdef7e4bab8bd67529a68e,FeedHenry,enterprise,Mobile Application Platform,,,2010.0,$9M,9000000.0,USD,ArcLabs Research & Innovation Building,Waterford,Waterford
9119,52cdef7e4bab8bd67529a68e,FeedHenry,enterprise,Mobile Application Platform,42.4851017,-71.2089211,2010.0,$9M,9000000.0,USD,15 New England Executive Park,01803,Burlington
9160,52cdef7e4bab8bd67529a6bb,StyleHop,hardware,Fashion Demand Forecasting,,,2009.0,$570k,570000.0,USD,54 Collinwood Rd,07040-1038,Maplewood
9195,52cdef7e4bab8bd67529a6e9,Social1000,network_hosting,,61.216583,-149.899597,2009.0,$0,0.0,0,,,Seattle
9196,52cdef7e4bab8bd67529a6e7,WhosCall,mobile,Call Filtering App,,,2013.0,$0,0.0,0,,,Taipei
9232,52cdef7e4bab8bd67529a716,Unison Technologies,software,"Fast, secure teamwork platform",40.7645772,-73.9799007,2011.0,$0,0.0,0,"424 W 33rd Street, Suite 410",10001,New York
9250,52cdef7e4bab8bd67529a72a,NetCitadel,security,Automated Threat Response Technology,44.867343,-72.114442,2011.0,$0,0.0,0,2513 E. Charleston Rd.,94043,Mountain View
9265,52cdef7e4bab8bd67529a73a,Jolicloud,enterprise,Cloud management platform,48.8566667,2.3509871,2009.0,$4.2M,4200000.0,USD,,,Paris
9294,52cdef7e4bab8bd67529a75f,Tengaged,games_video,Reality social and gaming network,41.4241228,2.1634249,2010.0,$15k,15000.0,USD,C/Pedrell,08032,Barcelona
9444,52cdef7e4bab8bd67529a805,Reachoo,software,,26.2480738,-80.135487,2010.0,$0,0.0,0,1557 NW 7th Ln,33060,Pompano Beach
9451,52cdef7e4bab8bd67529a810,Avenir Medical,biotech,,,,2010.0,$4.03M,4025000.0,USD,295 Hagey Blvd,N2L 6R5,"Waterloo, ON"
9531,52cdef7e4bab8bd67529a872,Indee,games_video,Film reaching far.,37.8053241,-122.4052761,2010.0,$0,0.0,0,1750 Montgomery St,94133,San Francisco
9596,52cdef7e4bab8bd67529a8ca,LoveAccess,other,,42.166398,-70.884948,2012.0,$0,0.0,0,77 Accord Park Drive Unit C-2,02061,Norwell
9598,52cdef7e4bab8bd67529a8ce,Revenue Architects,consulting,,,,2009.0,$0,0.0,0,24 Federal St,02110,Boston
9648,52cdef7e4bab8bd67529a906,JumpFox,consulting,Interactive / Mobile / Strategy,,,2009.0,$0,0.0,0,544 Natoma,94103,San Francisco
9731,52cdef7e4bab8bd67529a964,Newstree,analytics,,,,2012.0,$0,0.0,0,,,Zurich
9906,52cdef7e4bab8bd67529aa48,Do You Wanna Hook Up?,web,Dating Match Notification App,40.5889016,-73.9447994,2009.0,$0,0.0,0,,11235,New York
9908,52cdef7e4bab8bd67529aa47,GymFu,web,iPhone Fitness Games,50.841938,-1.7884785,2009.0,$0,0.0,0,7 Duck Island Lane,BH24 3AA,"Ringwood, Hampshire"
9939,52cdef7e4bab8bd67529aa7b,Twiturm,games_video,Music Sharing on Twitter,,,2009.0,$0,0.0,0,,,Tampa
9940,52cdef7e4bab8bd67529aa7d,Wappalyzer,software,Software Distribution Tracking,52.3624655,5.2025569,2009.0,$0,0.0,0,Postbus 352,3000,Rotterdam
9984,52cdef7e4bab8bd67529aaa9,facelovefinder,web,Dating Service,25.5230058,-103.4174464,2009.0,$0,0.0,0,Manzanos 151-C,,"Torreon, Coahuila"
10001,52cdef7e4bab8bd67529aabe,Infor,enterprise,,40.740976,-73.9947229,2009.0,$0,0.0,,641 Avenue of the Americas,10011,New York
10025,52cdef7e4bab8bd67529aae4,eCampusCash,web,Print & SMS discount Coupons,40.650291,-74.294395,2010.0,$0,0.0,0,,,Van Nuys
10093,52cdef7e4bab8bd67529ab2f,ScaleMP,software,Virtualization for high end computing,37.3229727,-122.0385792,2009.0,$8M,8000000.0,USD,20863 Stevens Creek Blvd.,95014,Cupertino
10142,52cdef7e4bab8bd67529ab61,Otalo,web,Vacation Rental Search Engine,42.3756007,-72.4436464,2009.0,$0,0.0,0,Suite 206-185,01002,Amherst
10189,52cdef7e4bab8bd67529aba7,mysoogal,games_video,Video Streaming,,,2009.0,$0,0.0,0,none,unlisted,none
10196,52cdef7e4bab8bd67529abab,Digital Meld,web,Technology Blog,29.714229,-95.527479,2009.0,$0,0.0,0,8215 Sands Point Drive,77036,Houston
10214,52cdef7e4bab8bd67529abc2,VisualOn,software,Multimedia Software,37.270518,-121.955879,2011.0,$3.1M,3100000.0,USD,4675 Stevens Creek Blvd,95051,Santa Clara
10222,52cdef7e4bab8bd67529abd5,Twtapps,web,Business Social Media Tools,45.4928591,-73.5825418,2009.0,$0,0.0,0,,H2Y0A4,Montreal
10226,52cdef7e4bab8bd67529abd9,Heyzap,games_video,Social Discovery Platform,37.7905538,-122.4041485,2009.0,$7.97M,7965000.0,USD,"3rd Floor, 251 Kearny Street",94108,San Francisco
10246,52cdef7e4bab8bd67529abf3,iShopWiser,ecommerce,Social Shopping and Suggestions,42.610112,-71.442225,2009.0,$0,0.0,0,4 Lakeside Terr,01886,Westford
10247,52cdef7e4bab8bd67529abf5,Talk to a Celeb,other,Celebrities and Social Bookmarking,34.423403,-119.704416,2009.0,$0,0.0,0,,,Santa Barbara
10286,52cdef7e4bab8bd67529ac2f,Meez,hardware,Avatar community site,37.785271,-122.397582,2009.0,$10.2M,10200000.0,USD,"620 Folsom St, Suite 350",94107,San Francisco
10439,52cdef7e4bab8bd67529acf9,Pilus Energy,cleantech,Alternative cleantech energy platform,39.0714909,-84.3857442,2009.0,$0,0.0,0,3130 Highland Ave,45219,Cincinnati
10440,52cdef7e4bab8bd67529acf9,Pilus Energy,cleantech,Alternative cleantech energy platform,,,2009.0,$0,0.0,0,535 Madison Ave,41011,Covington
10441,52cdef7e4bab8bd67529acf9,Pilus Energy,cleantech,Alternative cleantech energy platform,,,2009.0,$0,0.0,0,PO Box 30085,45230,Cincinnati
10521,52cdef7e4bab8bd67529ad55,About Me!,,,37.755068,-122.418026,2009.0,$0,0.0,0,"2601 Mission St,",94110,
10578,52cdef7e4bab8bd67529ad99,Ninth Division,mobile,Mobile & Web Software,,,2009.0,$0,0.0,0,,68130,Omaha
10641,52cdef7e4bab8bd67529adcf,GrouperEye,web,Job Postings for students,38.9169394,-77.0852258,2009.0,$0,0.0,0,,20007,Washington
10686,52cdef7e4bab8bd67529ae0f,MyFolio,network_hosting,,37.317649,-121.948532,2009.0,$0,0.0,0,560 S. Winchester Blvd.,95128,San Jose
10701,52cdef7e4bab8bd67529ae15,Skilto,ecommerce,Social skilled people directory,50.837051,4.367612,2009.0,$0,0.0,0,,,Brussels
10746,52cdef7e4bab8bd67529ae45,ikywim creative,advertising,"Web Design, Print Design and Branding",28.621704,-81.290729,2009.0,$0,0.0,0,7369 Grand Ave,32792,Winter Park
10752,52cdef7e4bab8bd67529ae4f,iplotz,public_relations,Web Design Mockups,39.0832204,-78.218254,2009.0,$0,0.0,0,5395 Main Street,22655,Stephens City
10818,52cdef7e4bab8bd67529ae98,WebriQ,network_hosting,Cloud based WebContent Management System,,,2010.0,$0,0.0,0,8 Cross Street,,Singapore
10824,52cdef7e4bab8bd67529ae9f,Talari Networks,enterprise,Enterprise networking gear,37.317735,-121.949417,2009.0,$45.1M,45100000.0,USD,550 S. Winchester Blvd.,95128,San Jose
10825,52cdef7e4bab8bd67529ae9f,Talari Networks,enterprise,Enterprise networking gear,35.8535092,-78.8267112,2009.0,$45.1M,45100000.0,USD,1100 Perimeter Park Dr,27560,Morrisville
